sent_id,entity1,entity2,sent
TRAIN_SENT_ID_249485,侯嬴,朱亥,（ 7 ） 朱亥 、 侯嬴 都 是 信陵君 的 门客 。
TRAIN_SENT_ID_249486,侯嬴,朱亥,马车 行到 中途 ， 侯嬴 又 忽然 提出 要 去 探访 一位 屠夫 朋友 朱亥 。
TRAIN_SENT_ID_249487,侯嬴,朱亥,第二部 第十三 节 ： 将 炙 啖 朱亥 ， 持觞 劝 侯嬴 （ 下 ）
TRAIN_SENT_ID_249488,侯嬴,朱亥,④ 谁 降轩 车问 抱关 ： 指 信陵君 曾经 纡尊降贵 礼待 小吏 侯嬴 、 屠户 朱亥 的 典故 。
TRAIN_SENT_ID_249489,侯嬴,朱亥,《 春秋战国 门 侯嬴 朱亥 》 作者 周昙 ， 是 唐朝 的 一部 诗词 。
TRAIN_SENT_ID_249490,侯嬴,朱亥,于是 信陵君 遵照 侯嬴 的 安排 ， 去 请 朱亥 。
TRAIN_SENT_ID_249491,侯嬴,朱亥,侯嬴 的 朋友 朱亥 已 为 信陵君 一锥 击杀 晋鄙 ， 侯嬴 自己 仍然 作 他 的 隐士 。
TRAIN_SENT_ID_249492,侯嬴,朱亥,颇知 朱亥 ， 尽礼 侯嬴 。
TRAIN_SENT_ID_249493,侯嬴,朱亥,侯嬴 向 信陵君 献计 ， 并荐 力士 朱亥 。
TRAIN_SENT_ID_249494,侯嬴,朱亥,第三个 四句 引入 信陵君 和 侯嬴 、 朱亥 的 故事 来 进一步 歌颂 侠客 ， 同时 也 委婉 地 表达 了 自己 的 抱负 。
TRAIN_SENT_ID_249495,侯嬴,朱亥,朱亥 与 侯嬴 真 千秋万古 二 壮士 ， 声名 煊赫 大梁 城 。
TRAIN_SENT_ID_249496,侯嬴,朱亥,唐 李白 《 侠客行 》 ： “ 将 炙 啖 朱亥 ， 持觞 劝 侯嬴 。 ”
TRAIN_SENT_ID_249497,侯嬴,朱亥,明 高启 《 大梁 行 》 ： “ 已访 侯嬴 到 里 门 ， 复迎 朱亥 经屠市 。 ”
TRAIN_SENT_ID_249498,侯嬴,朱亥,"闲过 信陵 饮 , 脱剑膝 前横 ; 将 炙 啖 朱亥 , 持觞 劝 侯嬴 。"
TRAIN_SENT_ID_249499,侯嬴,朱亥,二者 ， 朱亥 是 侯嬴 介绍 给 信陵君 的 ， 并且 告知 信陵君 用 朱亥 杀死 晋鄙 ；
TRAIN_SENT_ID_249500,侯嬴,朱亥,幸得 侯嬴 献计 ， 无忌 使 魏王 宠妃 如姬 偷走 兵符 ， 靠 朱亥 槌 杀 魏国大 将 晋鄙 强夺 兵权 ， 终于 与 赵 、 楚 两国 联合 击退 秦军 ， 保住 了 赵国 。
TRAIN_SENT_ID_249501,侯嬴,朱亥,两句 叙事 极略 ， 但 紧接 二句 交代 侯嬴 身份 兼及 朱亥 ， 不 避 繁复 ， 又 出人意外 地详 。
TRAIN_SENT_ID_249502,侯嬴,朱亥,最后 ， 诗人 以 战国 时 “ 窃 符救 赵夺 晋鄙 军 ” 中 的 侯嬴 、 朱亥 ” 二 壮士 ” 例 ， 阐明 “ 纵死 侠骨 香 ， 不惭 世上 英 ” 之旨 。
TRAIN_SENT_ID_249503,侯嬴,朱亥,侯嬴 提醒 他 说 ： “ 你 把 我 的 屠夫 朋友 朱亥 带上 ， 以防万一 。 ”
TRAIN_SENT_ID_249504,侯嬴,朱亥,想当年 ， 侯嬴 、 朱亥 与 信陵君 结交 ， 与 之 脱剑 横膝 ， 交相 欢饮 。
TRAIN_SENT_ID_249505,侯嬴,朱亥,侯嬴 对 魏无忌 说 “ ： 我 所 拜访 的 屠夫 朱亥 ， 是 贤 能之士 ， 只是 人们 都 不 了解 他 ， 所以 隐没 在 屠夫 中 罢了 。 ”
TRAIN_SENT_ID_249506,侯嬴,朱亥,李太白 的 这 一首 《 侠客行 》 古风 ， 写 的 是 战国时代 信陵君 门下 两位 任侠 侯嬴 、 朱亥 故事 。
TRAIN_SENT_ID_249507,侯嬴,朱亥,侯嬴 对 信陵君 说 ： “ 我 所 拜访 的 屠者 朱亥 ， 是 个 贤人 ， 世人 都 不 知道 ， 今 隐身 在 屠户 间 。 ”
TRAIN_SENT_ID_249508,侯嬴,朱亥,回府 途中 ， 侯嬴 下车 与 屠者 朱亥 交谈 ， 故意 让 信陵君 长时间 等待 。
TRAIN_SENT_ID_249509,侯嬴,朱亥,将 炙 啖 朱亥 ， 持觞 劝 侯嬴 。
TRAIN_SENT_ID_249510,侯嬴,朱亥,有人 认为 这首 《 侠客行 》 仅仅 是 写 朱亥 、 侯嬴 ， 是 不 对 的 。
TRAIN_SENT_ID_249511,侯嬴,朱亥,朱亥 已击晋 ， 侯嬴 尚 隐身 。
TRAIN_SENT_ID_249512,侯嬴,朱亥,第二部 第十三 节 ： 将 炙 啖 朱亥 ， 持觞 劝 侯嬴 （ 上 ）
TRAIN_SENT_ID_249513,侯嬴,朱亥,⑺ 朱亥 、 侯嬴 都 是 信陵君 的 门客 。
TRAIN_SENT_ID_249514,侯嬴,朱亥,春秋战国 门 侯嬴 朱亥 诗词 正文 : 屠肆 监门 一贱 微 ， 信陵 交结 国人 非 。
TRAIN_SENT_ID_249515,侯嬴,朱亥,侯嬴 对 魏无忌 说 ： “ 我 所 拜访 的 屠夫 朱亥 ， 是 贤 能之士 ， 只是 人们 都 不 了解 他 ， 所以 隐没 在 屠夫 中 罢了 。 ”
TRAIN_SENT_ID_249516,侯嬴,朱亥,它 歌颂 了 侯嬴 舍生取义 、 朱亥 挥槌 救 赵 的 侠义精神 ， 更 强调 了 功成身退 的 高风亮节 ， 表现 了 对 皓首穷经 的 儒生 的 鄙视 。
TRAIN_SENT_ID_249517,侯嬴,朱亥,朱亥 是 持刀 宰杀 牲口 的 屠夫 ， 侯嬴 是 掌管 魏国 都城 大梁 东门 锁匙 的 守门人 。
TRAIN_SENT_ID_249518,侯嬴,朱亥,侯嬴 的 这个 朋友 名叫 朱亥 ， 是 个 卖肉 的 屠户 。
TRAIN_SENT_ID_249519,侯嬴,朱亥,第 248 章 : 侯嬴 朱亥
TRAIN_SENT_ID_249520,侯嬴,朱亥,"将 炙 啖 朱亥 , 持觞 劝 侯嬴 。"
TRAIN_SENT_ID_249521,侯嬴,朱亥,明 刘基 《 结 袜子 》 诗 ： “ 诣 门 谒 朱亥 ， 虚 左上 侯嬴 。 ”
TRAIN_SENT_ID_249522,侯嬴,朱亥,亥 ： 朱亥 ， 战国 魏人 ， 有 勇力 ， 与 侯嬴 相善 ， 隐于 市 ， 为 屠户 。
TRAIN_SENT_ID_249523,侯嬴,朱亥,将 炙 啖 朱亥 ， 持觞 劝 侯嬴 ⑺ 。
TRAIN_SENT_ID_249524,侯嬴,朱亥,持觞 出处 : 唐 李白 《 侠客行 》 ： “ 将 炙 啖 朱亥 ， 持觞 劝 侯嬴 。 ”
TRAIN_SENT_ID_249525,侯嬴,朱亥,⑺ 朱亥 、 侯嬴 ， 都 是 信陵君 的 门客 。
TRAIN_SENT_ID_249526,侯嬴,朱亥,侯嬴 见 信陵君 始终 面不改色 ， 就 辞别 朱亥 上车 ， 到 信陵君 家 。
TRAIN_SENT_ID_249527,侯嬴,朱亥,屠市 曾 无 朱亥 奇 ， 夷门 只有 侯嬴 贱 。
TRAIN_SENT_ID_250498,宁采臣,燕赤霞,宁采臣 问 了 一句 ： “ 为何 不去 迷惑 燕赤霞 ？ ”
TRAIN_SENT_ID_250499,宁采臣,燕赤霞,宁采臣 问 他 刚才 藏 起来 的 是 什么 东西 ， 燕赤霞 说 是 剑 ， 并 说 刚才 闻 它 ， 上面 有股 妖气 。
TRAIN_SENT_ID_250500,宁采臣,燕赤霞,故事 描述 书生 宁采臣 到 兰若 寺 躲雨 ， 为 道士 燕赤霞 所拒 。
TRAIN_SENT_ID_250501,宁采臣,燕赤霞,这时 ， 燕赤霞 醒来 起身 ， 宁采臣 假装 睡着 了 ， 在 暗中 观察 他 。
TRAIN_SENT_ID_250502,宁采臣,燕赤霞,之后 小倩 请求 太后 和 七夜 让 她 和 宁采臣 在 一起 ， 最后 太后 同意 ， 于是 与 燕赤霞 一家人 在 日出 山城 会合 。
TRAIN_SENT_ID_250503,宁采臣,燕赤霞,燕赤霞 拦住 了 宁采臣 ， 摇头叹息 ， 天命 如此 ， 小倩下 地狱 ， 是 阎罗 也 改变 不了 的 命运 。
TRAIN_SENT_ID_250504,宁采臣,燕赤霞,燕赤霞 来到 长春 镇后 ， 得知 东南方 有 一 凤凰 塔 ， 并 在 塔中 见到 救过 自己 的 黑衣 大侠 宁采臣 （ 贰代 杨坤硕 ） 。
TRAIN_SENT_ID_250505,宁采臣,燕赤霞, 在 燕赤霞 、 宁采臣 、 小倩 的 帮助 下 ， 主角 走上 降妖 附魔 ， 探寻 自己 身世 的 道路 。
TRAIN_SENT_ID_250506,宁采臣,燕赤霞,宁采臣 酒醒 ， 眼前 唯有 燕赤霞 。
TRAIN_SENT_ID_250507,宁采臣,燕赤霞,宁采臣 欲 救小倩 脱离 姥姥 魔掌 ， 便 求助于 侠义 道士 燕赤霞 ...
TRAIN_SENT_ID_250508,宁采臣,燕赤霞,尤其 是 开场 不久 关于 小倩 与 宁采臣 与 燕赤霞 的 所谓 “ 爱情 ” ， 都 是因为 区区 的 一块 “ 糖果 ” 而 起 ， 让 人 无语 。
TRAIN_SENT_ID_250509,宁采臣,燕赤霞,倩女幽魂 电影 剧情 : 书生 宁采臣 （ 张国荣 饰 ） 到 兰若 寺 躲雨 ， 为 道士 燕赤霞 （ 午马 饰 ） 所拒 。
TRAIN_SENT_ID_250510,宁采臣,燕赤霞,燕赤霞 只好 赶 去 唐朝 的 贞观 年间 ， 希望 能 阻止 老妖 成 妖 ， 制止 宁采臣 扰乱 时序 ， 并 赶回 阴间 拯救 聂小倩 。
TRAIN_SENT_ID_250511,宁采臣,燕赤霞,与 燕赤霞 不同 ， 天性 淡泊 的 宁采臣 ， 从 没有 怨天尤人 ， 他 怀揣 一颗 善心 去 看待 一切 世事 ， 不以 物喜 不 以己 悲 ， 但求 平静 的 度过 一生 。
TRAIN_SENT_ID_250512,宁采臣,燕赤霞,主角 ： 燕赤霞 ， 小倩 ， 宁采臣
TRAIN_SENT_ID_250513,宁采臣,燕赤霞,就 在 中途 ， 姥姥 来犯 ， 宁采臣 的 生命垂危 ， 燕赤霞 赶到 ， 收伏 老妖 。
TRAIN_SENT_ID_250514,宁采臣,燕赤霞,燕赤霞 和 宁采臣 两人 协力 上塔 ， 诛杀 了 无数 潮涌 而来 的 妖物 ， 终于 到 了 塔顶 ， 在 塔顶 有 一个 美丽 的 姑娘 。
TRAIN_SENT_ID_250515,宁采臣,燕赤霞,宁采臣 说 想 看看 这 柄 剑 ， 燕赤霞 拿 出来 给 他 看 ， 原来 ， 这 是 一 柄 亮闪闪 的 小剑 。
TRAIN_SENT_ID_250516,宁采臣,燕赤霞,剑客 燕赤霞 义助 宁采臣 对付 姥姥 ， 并欲成 他们 这 对 人 鬼 恋人 。
TRAIN_SENT_ID_250517,宁采臣,燕赤霞,在 酒席 上 ， 宁采臣 留意 观察 燕赤霞 。
TRAIN_SENT_ID_250518,宁采臣,燕赤霞,演员 ： 乐蒂 （ 聂小倩 ） 、 赵雷 （ 宁采臣 ） 、 唐若菁 （ 姥姥 ） 、 杨志卿 （ 燕赤霞 ）
TRAIN_SENT_ID_250519,宁采臣,燕赤霞,恶鬼 姥姥 胁迫 女鬼 聂小倩取 宁采臣 性命 ， 幸得 剑客 燕赤霞 所救 ， 掀起 人鬼大 斗法 ， 最后 小倩 在 二人 帮助 下 脱离 魔爪 ， 恶鬼 姥姥 也 被 杀死 。
TRAIN_SENT_ID_250520,宁采臣,燕赤霞,宁采臣 恳求 燕赤霞 将 小倩 从 树妖 的 手中 救 出来 ， 燕赤霞 慨然应允 ， 于是 无尽 的 战斗 、 层层 的 谜题 便 由此 展开 。
TRAIN_SENT_ID_250521,宁采臣,燕赤霞,倩女幽魂 三部曲 剧情 : 故事 描述 书生 宁采臣 到 兰若 寺 躲雨 ， 为 道士 燕赤霞 所拒 。
TRAIN_SENT_ID_250522,宁采臣,燕赤霞,燕赤霞 告诉 宁采臣 他 已经 惹 鬼 上身 ， 虽 逃过一劫 ， 却 不能 再 熬过 一 晚 ， 催促 他 赶紧 收拾 行李 ， 走上 奔赴 京城 的 阳关大道 。
TRAIN_SENT_ID_250523,宁采臣,燕赤霞,该剧 通过 聂小倩 与 宁采臣 ， 宦娘 与 燕赤霞 、 吕子凯 等 人 鬼 之间 错综复杂 的 爱情故事 ， 向 人们 讲述 了 纵 阴阳 也 可成 美的 绝唱 。
TRAIN_SENT_ID_250524,宁采臣,燕赤霞,心地善良 的 宁采臣 、 亦 鬼 亦 人 的 聂小倩 、 侠肝义胆 的 燕赤霞 均 给 人 留下 了 深刻 的 印象 。
TRAIN_SENT_ID_250525,宁采臣,燕赤霞,燕赤霞 义助 宁采臣 对付 姥姥 ， 并 玉成 他们 这 对 人 鬼 恋人 。
TRAIN_SENT_ID_250526,宁采臣,燕赤霞,据 现场 官方 人员 透露 ， 电影 《 倩女幽魂 》 的 一些 经典 角色 ， 例如 宁采臣 和 燕赤霞 ， 将会 有 更 大 尺度 的 变革 和 突破 。
TRAIN_SENT_ID_250527,宁采臣,燕赤霞,燕赤霞 屡次 劝阻 宁采臣 不要 陷入 人妖 之恋 ， 奈何 后者 与 小倩 情深意重 ， 明知 是 妖 ， 却 屡屡 犯险 ， 毫无 退意 。
TRAIN_SENT_ID_250528,宁采臣,燕赤霞,"燕赤霞 跑 到 西湖 去 捉 白娘子 , 法海 跑 到 兰若 寺 拆散 宁采臣 和 聂小倩 ..."
TRAIN_SENT_ID_250529,宁采臣,燕赤霞,侠士 燕赤霞 秉 师命 去 济南 找 知府 王华 报仇 ， 并 从 王府 寻回 自己 心中 的 爱人 宦娘 ， 而 宦娘 却 对 宁采臣 同窗 吕子凯 情有独钟 。
TRAIN_SENT_ID_250530,宁采臣,燕赤霞,书生 宁采臣 借宿 兰若 寺 ， 偶遇 道士 燕赤霞 ， 并 与 姥姥 手下 的 女鬼 聂小倩 邂逅 ， 抒写 了 一场 凄美 缠绵 的 人鬼恋 。
TRAIN_SENT_ID_250531,宁采臣,燕赤霞,而 燕赤霞 听 了 宁采臣 的 陈述 后 ， 为 他们 之间 的 真情 所 感动 ， 认为 他们 罪 不 至死 ， 因而 和慧 澄起 了 冲突 。
TRAIN_SENT_ID_250532,宁采臣,燕赤霞,因为 偶遇 假 的 “ 诸葛 卧龙 ” ( 宁采臣 ) ， 让 知秋 一叶 遇到 崇拜 的 燕赤霞 ， 可算 得 上 是 修道 之后 斗 的
TRAIN_SENT_ID_250533,宁采臣,燕赤霞,影片 主要 讲述 了 猎 妖师 和 千年 树妖 之间 的 恩怨 以及 聂小倩 、 燕赤霞 和 宁采臣 之间 的 感情纠葛 。
TRAIN_SENT_ID_250534,宁采臣,燕赤霞,临行 前 ， 燕赤霞 设宴 送行 ， 并 把 破 皮囊 赠送给 宁采臣 ， 他 告诉 宁采臣 ： “ 这是 剑袋 。
TRAIN_SENT_ID_250535,宁采臣,燕赤霞,燕赤霞 义助 宁采臣 对付 姥姥 ， 并 促成 他们 这 对 人 鬼 恋人 。
