id,sent,softmatch_score,softmatch,soft_svm
24, 人物一 没有 哥哥 人物二 幸运 主演 机会 可谓 十分 难得,0.8300183,1,0
25, 动漫 妹妹 大阪 大妈 中 角色 人物二 妹妹 人物一 一个 外貌 相当 可爱 高中 一年级 学生,0.822579,1,1
31, 国内 教育 体系 钱学森 子女 应该 大学 时 极大 破坏 钱学森 子女 人物二 人物一 没有 得到 堂兄弟 发展 环境,0.81830573,1,1
32, 那年 人物二 岁 妹妹 人物一 岁,0.82689047,1,1
37, 人物二 著名 音乐 人物一 大哥 高中 阶段 一次 全美 联考 中 获得 第一 老布什 接见 来信,0.8195443,1,0
45, 人物一 人物二 之弟 封 赵郡 公 官至 开府 仪同 三司 大将军,0.8527486,1,1
47, 人物二 人物 家庭 韩国 艺人 全智贤 老公 人物一 大哥,0.8167227,1,1
49, 柳 大山 带 三个 收养 孤儿 人物二 焦恩俊 饰 人物一 柳 月 一直 卖艺 为生 生计 艰难 便 回老家,0.8196618,1,0
85, 人物二 金庸 小说 神雕侠侣 中 人物 一灯大师 四大 弟子 渔樵 耕读 耕夫 武三通 之子 母亲 武三娘 兄长 人物一,0.80186516,1,1
94, 靖 蓉 寻找 黄药师 巧遇 武三通 之子 人物一 人物二 杨康之 子 杨过,0.8936751,1,0
99, 人物 生平 人物一 人物一 武三通 武三娘 生 父母 希望 弟弟 人物二 弃武 从文 涉身 险恶 江湖,0.8820952,1,1
100, 英雄 大会 中 人物二 人物一 明明 以二敌 大败 霍都王子 手下 丢 中原 英雄 脸面,0.84580266,1,0
107, 郭靖 黄蓉 更是 人物一 人物二 郭 芙 面前 缺失 男人 血性 表现 看作 宝贝女儿 疼爱,0.8317557,1,1
112, 靖 蓉 寻找 黄药师 巧遇 武三通 之子 人物一 人物二 杨康之 子 杨过,0.8936751,1,0
120, 人物二 武三通 武三娘 生 父母 希望 哥哥 人物一 弃武 从文 涉身 险恶 江湖,0.8746227,1,1
121, 人物一 人物二 没有 郭靖 幸运 觉得 运气,0.8332499,1,1
127, 靖 蓉 寻找 黄药师 巧遇 武三通 之子 人物一 人物二 杨康之 子 杨过,0.8936751,1,0
129, 杨过 从华山 下来 英雄 大会 途中 破庙 见到 人物一 神色 剽悍 举手投足 之间 精神 十足 人物二 轻捷 灵动 东奔西走 没 一刻 安静,0.81740344,1,0
132, 人物一 正写 人物二 回来 文件 一看 大笑 哥 会 写,0.8176966,1,0
143, 人物一 怂恿 张荫桓 出面 打着 繁荣 芜湖 商埠 旗号 人物二 献策 依靠 朝廷 力量 令 镇江 米市 迁至 芜湖,0.8414641,1,1
186, 蜀汉 名将 张飞 之孙 人物一 之子 人物二 侄,0.82357305,1,1
234, 罗焕 人物 简介 隋唐 时期 罗艺 之孙 祖母 姜桂芝 人物一 之子 人物二 侄子,0.8152935,1,1
240, 人物 简介 隋唐 时期 罗艺 之孙 祖母 姜桂芝 人物一 之子 人物二 侄子,0.81078446,1,1
243, 隋唐 时期 罗艺 之孙 祖母 姜桂芝 人物一 之子 人物二 侄子 死 薛丁山 征西 儿子 罗平 女儿 罗盈,0.8411364,1,1
272, 反自 祲 祥 宿于 䓕 氏 生 人物二 人物一 于泉 丘人,0.880497,1,1
295, 本集 叙 荆州 刘表 死后 人物一 人物二 伪造 遗嘱 立 次 子刘琮 继任 荆州 太守 曹操 大军 进攻 荆州 人物一 献城 投降,0.8515183,1,1
296, 刘表 后妻 人物一 疑 刘备 时 正在 屏风 窃听 闻备 此言 便 忌恨 备 命弟 人物二 襄阳 设宴 欲 藉 机杀备,0.8316271,1,1
303, 人物一 人物 生平 荆州 刺史 刘表 后妻 刘琮 后母 人物二 之姐,0.85763067,1,1
305, 刘表 死后 人物一 人物二 立 荆州 之主 投降 南下 曹操,0.87376845,1,1
327, 张国强 命令 职业杀手 人物二 杀 邱玉茹 邱玉茹 追杀 时 幸运 得到 人物一 相救 歹徒 仍然 步步进逼 不肯 放过,0.8296767,1,0
346, 导演 人物一 演员 人物二 兄弟 双星 忠 武路 名堂 越 越响 风格 各有千秋 两人 前途 圈内 人士 普遍 看好,0.83411485,1,0
351, 导演 人物一 演员 人物二 兄弟 双星 忠 武路 名堂 越 越响 风格 各有千秋 近来 两人 前途 圈内 人士 普遍 看好,0.83119386,1,0
370, 人物一 中国 古典小说 红楼梦 中 人物 金陵 十二钗 贾政 王夫人 所生 长女 人物二 姐姐 贾府 通称 娘娘,0.810911,1,1
373, 贾政 生 贾珠 人物一 人物二 王夫人 生 贾探春 庶出 贾环 赵姨娘 生,0.8083051,1,1
374, 人物一 薨 逝 王子腾 药 死 贾政 赴任 贾母 王夫人 只得 采纳 凤姐 掉包 计 成全 人物二 薛宝钗 金玉 姻缘,0.88169146,1,1
379, 人物一 一手 抚养 亲 弟弟 人物二 一个 未成年 孩子 人物一 没有 传命 只能 站 室外 所谓 无谕 外 男 不敢 擅入,0.84221727,1,1
435, 年 古天乐 版 神雕侠侣 中 人物一 却成 陆无双 爹 何沅君 成 陆无双 娘 人物二 陆二娘 均 未 提及,0.83308554,1,0
436, 象山 影视城 陆家庄 陆家庄 神雕 中是 人物一 人物二 两 兄弟 庄院 小说 第一回 中 写道 故事情节 这府院 发生,0.8136085,1,1
439, 两 人均 想 人物二 藉藉无名 兄长 人物一 何沅君 夫妇 却侠 名震于 江湖 嘉兴 陆家庄 名头 武林中 向来 无人 小觑,0.8470885,1,1
441, 年 古天乐 版 年 陈晓 版 神雕侠侣 中 人物一 却成 陆无双 爹 人物二 人物 未 提及,0.8082978,1,0
442, 陆家庄 陆家庄 神雕 中是 人物一 人物二 两 兄弟 庄院 小说 第一回 中 写道 故事情节 这府院 发生,0.81531197,1,1
452, 舅父 人物一 想 抓 黄蓉 雌雕 失手 摔死 铁掌 峰下 人物二 铁掌 水上 飘 慈恩 金轮法王 恶斗 终于 伤 掌下 死,0.84115785,1,1
