id,sent,softmatch_score,softmatch,soft_svm
24, 人物一 没有 哥哥 人物二 幸运 主演 机会 可谓 十分 难得,0.8300183,1,0
37, 人物二 著名 音乐 人物一 大哥 高中 阶段 一次 全美 联考 中 获得 第一 老布什 接见 来信,0.8195443,1,0
49, 柳 大山 带 三个 收养 孤儿 人物二 焦恩俊 饰 人物一 柳 月 一直 卖艺 为生 生计 艰难 便 回老家,0.8196618,1,0
94, 靖 蓉 寻找 黄药师 巧遇 武三通 之子 人物一 人物二 杨康之 子 杨过,0.8936751,1,0
100, 英雄 大会 中 人物二 人物一 明明 以二敌 大败 霍都王子 手下 丢 中原 英雄 脸面,0.84580266,1,0
112, 靖 蓉 寻找 黄药师 巧遇 武三通 之子 人物一 人物二 杨康之 子 杨过,0.8936751,1,0
127, 靖 蓉 寻找 黄药师 巧遇 武三通 之子 人物一 人物二 杨康之 子 杨过,0.8936751,1,0
129, 杨过 从华山 下来 英雄 大会 途中 破庙 见到 人物一 神色 剽悍 举手投足 之间 精神 十足 人物二 轻捷 灵动 东奔西走 没 一刻 安静,0.81740344,1,0
132, 人物一 正写 人物二 回来 文件 一看 大笑 哥 会 写,0.8176966,1,0
327, 张国强 命令 职业杀手 人物二 杀 邱玉茹 邱玉茹 追杀 时 幸运 得到 人物一 相救 歹徒 仍然 步步进逼 不肯 放过,0.8296767,1,0
346, 导演 人物一 演员 人物二 兄弟 双星 忠 武路 名堂 越 越响 风格 各有千秋 两人 前途 圈内 人士 普遍 看好,0.83411485,1,0
351, 导演 人物一 演员 人物二 兄弟 双星 忠 武路 名堂 越 越响 风格 各有千秋 近来 两人 前途 圈内 人士 普遍 看好,0.83119386,1,0
435, 年 古天乐 版 神雕侠侣 中 人物一 却成 陆无双 爹 何沅君 成 陆无双 娘 人物二 陆二娘 均 未 提及,0.83308554,1,0
441, 年 古天乐 版 年 陈晓 版 神雕侠侣 中 人物一 却成 陆无双 爹 人物二 人物 未 提及,0.8082978,1,0
474, 斗眼 潘斌龙 饰 追捕 电视剧 职员表 出品人 人物一 人物二,0.8010341,1,0
477, 华谊 众多 明星 工作人员 两人 不少圈 中 好友 包括 大小 王总 华谊 总裁 人物一 人物二 冯小刚 导演 王菲 到场 祝贺,0.83058316,1,0
480, 华谊 广告 注册资本 万元 中 人物一 出资 万元 占 人物二 出资 万元 占 马云 持有 股权,0.82173467,1,0
659, 少年 发誓 决计 不会 姑姑 独守 十六年 寂寞 李莫愁 闲身 空恨 不会 人物二 人物一 苦熬 年华,0.83982825,1,0
666, 到来 会 杨过 小龙女 带来 改变 人物一 人物二 薄命 红颜 命运 是否 会 改变 下去 知道,0.8017928,1,0
671, 人物二 听 这话 不禁 生气 挂念 杨过 无意 争 闲气 示意 人物一 找 杨过,0.83254457,1,0
672, 小龙女 经历 是否 会 不同 人物二 人物一 是否 还会 孤独 一生,0.837919,1,0
679, 杨过 告别 人物一 人物二 后于 山岭 间 信步而行 时 无意 中 遇到 金轮法王 师徒 一行 帮 疗伤 杨过 要求 国师 帮 报仇,0.8375998,1,0
689, 遇到 柯镇恶 之后 一定 马上 嘉兴 人物二 人物一 住所 旁边 民房 里面 找段 老 中间 不要 做 段 老将 过世,0.8086738,1,0
694, 不想 改变 南帝 变 东邪 变 郭靖 变 黄蓉变 杨过 变 小龙女 变 人物二 变 人物一 变,0.80044454,1,0
711, 人物二 见 人物一 决心 告诉 众人 线索,0.8592011,1,0
717, 婚礼 派对 中午 一直 开 下午 点 据知 人物二 场内 献唱 多首 感人 歌曲 更 上台 讲到 人物一 姐弟 情 一度 感动 泪 洒 当场,0.82272315,1,0
941, 该剧 讲述 水 健儿 游德 离婚 夫妇 带 一个 女儿 人物二 人物一 香港 美国 生活,0.84409255,1,0
963, 人物二 人物一 满 岁 时 赌王 于君 悦 酒店 举行 千万 成人礼 生日会,0.8086738,1,0
1131, 爸爸 回家 做 功课 作者简介 欧阳龙 深情 顾家 天蝎座 欧阳妮妮 岁 人物二 岁 人物一 岁 爸爸,0.826995,1,0
1161, 爸爸 回家 做 功课 作者简介 欧阳龙 深情 顾家 天蝎座 人物二 岁 欧阳娜娜 岁 人物一 岁 爸爸,0.8259773,1,0
1204, 时间 一分一秒 流逝 打开 锁 人物二 笑容 永远 找 回来 人物一 朋友 永远 锁 锁国 里,0.8043799,1,0
